node_id,degree
0,560
1,528
2,563
3,520
4,571
5,533
6,516
7,514
8,526
9,518
10,516
11,545
12,563
13,481
14,552
15,525
16,526
17,539
18,501
19,512
20,540
21,579
22,510
23,553
24,509
25,503
26,508
27,565
28,527
29,503
30,517
31,561
32,525
33,529
34,524
35,508
36,536
37,550
38,531
39,541
40,542
41,492
42,559
43,543
44,541
45,530
46,540
47,554
48,523
49,526
50,534
51,514
52,495
53,530
54,517
55,536
56,523
57,548
58,537
59,502
60,529
61,528
62,541
63,487
64,489
65,502
66,543
67,523
68,548
69,518
70,467
71,542
72,539
73,534
74,520
75,529
76,542
77,513
78,491
79,539
80,528
81,502
82,488
83,531
84,535
85,501
86,539
87,471
88,581
89,527
90,539
91,538
92,543
93,545
94,523
95,514
96,551
97,525
98,534
99,570
100,492
101,518
102,559
103,510
104,529
105,582
106,500
107,558
108,533
109,509
110,511
111,531
112,543
113,517
114,529
115,524
116,536
117,520
118,504
119,512
120,480
121,545
122,511
123,498
124,585
125,542
126,536
127,511
128,535
129,526
130,530
131,584
132,540
133,525
134,533
135,527
136,550
137,538
138,529
139,522
140,528
141,521
142,473
143,522
144,550
145,513
146,543
147,513
148,486
149,534
150,518
151,531
152,541
153,548
154,535
155,547
156,529
157,549
158,567
159,515
160,533
161,529
162,499
163,466
164,521
165,546
166,564
167,535
168,536
169,549
170,517
171,505
172,550
173,514
174,540
175,532
176,547
177,541
178,524
179,551
180,547
181,580
182,516
183,500
184,544
185,553
186,544
187,535
188,516
189,519
190,516
191,556
192,565
193,532
194,544
195,499
196,536
197,500
198,553
199,554
200,511
201,525
202,491
203,506
204,515
205,538
206,501
207,508
208,523
209,527
210,545
211,521
212,550
213,527
214,536
215,509
216,554
217,500
218,560
219,543
220,493
221,560
222,534
223,513
224,516
225,506
226,503
227,546
228,504
229,496
230,526
231,564
232,570
233,539
234,533
235,541
236,548
237,488
238,535
239,530
240,517
241,500
242,538
243,512
244,532
245,505
246,538
247,513
248,566
249,527
250,548
251,513
252,552
253,509
254,518
255,588
256,527
257,513
258,532
259,505
260,575
261,547
262,522
263,501
264,495
265,520
266,549
267,531
268,533
269,505
270,524
271,546
272,552
273,477
274,505
275,558
276,490
277,527
278,512
279,511
280,540
281,539
282,528
283,545
284,540
285,502
286,519
287,533
288,515
289,567
290,539
291,531
292,570
293,545
294,543
295,509
296,559
297,548
298,562
299,528
300,546
301,502
302,524
303,539
304,550
305,524
306,512
307,554
308,520
309,506
310,504
311,550
312,543
313,518
314,579
315,545
316,544
317,550
318,512
319,508
320,531
321,492
322,502
323,557
324,539
325,528
326,531
327,482
328,520
329,541
330,504
331,511
332,536
333,505
334,548
335,527
336,533
337,539
338,511
339,539
340,557
341,505
342,525
343,528
344,520
345,533
346,516
347,541
348,546
349,499
350,551
351,531
352,536
353,553
354,499
355,484
356,558
357,517
358,493
359,547
360,555
361,515
362,555
363,542
364,514
365,572
366,531
367,569
368,523
369,523
370,544
371,521
372,526
373,526
374,502
375,519
376,547
377,517
378,552
379,528
380,514
381,558
382,526
383,552
384,554
385,517
386,517
387,540
388,537
389,515
390,509
391,504
392,494
393,543
394,542
395,510
396,494
397,517
398,534
399,549
400,551
401,531
402,503
403,607
404,549
405,525
406,527
407,504
408,476
409,489
410,544
411,558
412,531
413,516
414,555
415,518
416,551
417,536
418,519
419,530
420,558
421,535
422,551
423,508
424,544
425,529
426,509
427,525
428,519
429,555
430,523
431,543
432,556
433,513
434,544
435,529
436,524
437,542
438,537
439,568
440,541
441,548
442,524
443,540
444,541
445,553
446,479
447,544
448,505
449,537
450,538
451,558
452,552
453,512
454,510
455,543
456,503
457,508
458,521
459,550
460,518
461,520
462,543
463,513
464,528
465,506
466,584
467,514
468,546
469,475
470,528
471,513
472,557
473,564
474,502
475,521
476,515
477,550
478,539
479,543
480,531
481,559
482,555
483,548
484,515
485,504
486,550
487,515
488,508
489,576
490,563
491,500
492,535
493,516
494,549
495,550
496,507
497,552
498,551
499,515
500,540
501,531
502,534
503,500
504,524
505,514
506,541
507,522
508,575
509,498
510,570
511,544
512,550
513,572
514,506
515,571
516,545
517,514
518,526
519,504
520,555
521,546
522,508
523,515
524,507
525,496
526,575
527,569
528,528
529,526
530,572
531,561
532,532
533,524
534,552
535,512
536,562
537,533
538,511
539,493
540,505
541,540
542,578
543,514
544,540
545,550
546,494
547,564
548,537
549,529
550,526
551,586
552,510
553,543
554,521
555,514
556,529
557,537
558,512
559,584
560,527
561,577
562,520
563,530
564,531
565,502
566,508
567,521
568,564
569,518
570,545
571,539
572,547
573,519
574,536
575,502
576,514
577,558
578,503
579,521
580,547
581,465
582,512
583,549
584,542
585,551
586,564
587,538
588,528
589,587
590,514
