id,label,community
A2M,A2M,4
A4GALT,A4GALT,4
AAAS,AAAS,3
AACS,AACS,13
AAGAB,AAGAB,6
AAMDC,AAMDC,3
AAMP,AAMP,3
AAR2,AAR2,15
AARD,AARD,15
AARS1,AARS1,1
AARS2,AARS2,15
AASDH,AASDH,6
AASDHPPT,AASDHPPT,1
AASS,AASS,2
AATF,AATF,5
ABAT,ABAT,6
ABCA1,ABCA1,2
ABCA2,ABCA2,15
ABCA3,ABCA3,6
ABCB10,ABCB10,10
ABCB7,ABCB7,5
ABCB8,ABCB8,3
ABCC1,ABCC1,6
ABCC10,ABCC10,15
ABCC11,ABCC11,13
ABCC3,ABCC3,11
ABCC5,ABCC5,10
ABCD1,ABCD1,2
ABCD3,ABCD3,6
ABCD4,ABCD4,15
ABCE1,ABCE1,5
ABCF1,ABCF1,15
ABCF2,ABCF2,3
ABCF3,ABCF3,15
ABCG1,ABCG1,6
ABHD10,ABHD10,6
ABHD11,ABHD11,3
ABHD12,ABHD12,3
ABHD13,ABHD13,6
ABHD14B,ABHD14B,4
ABHD15,ABHD15,2
ABHD17A,ABHD17A,3
ABHD17B,ABHD17B,5
ABHD17C,ABHD17C,10
ABHD2,ABHD2,10
ABHD3,ABHD3,15
ABHD4,ABHD4,6
ABHD5,ABHD5,2
ABHD8,ABHD8,3
ABI1,ABI1,5
ABI2,ABI2,6
ABI3,ABI3,3
ABI3BP,ABI3BP,4
ABITRAM,ABITRAM,6
ABL1,ABL1,15
ABL2,ABL2,5
ABLIM1,ABLIM1,4
ABLIM3,ABLIM3,4
ABR,ABR,15
ABRACL,ABRACL,4
ABRAXAS2,ABRAXAS2,5
ABT1,ABT1,3
ABTB1,ABTB1,3
AC007906.2,AC007906.2,4
AC069544.2,AC069544.2,5
AC093323.1,AC093323.1,3
ACAA1,ACAA1,3
ACAA2,ACAA2,2
ACACA,ACACA,13
ACACB,ACACB,2
ACAD10,ACAD10,15
ACAD8,ACAD8,15
ACAD9,ACAD9,15
ACADM,ACADM,13
ACADS,ACADS,2
ACADSB,ACADSB,4
ACADVL,ACADVL,4
ACAP2,ACAP2,6
ACAP3,ACAP3,3
ACAT1,ACAT1,10
ACAT2,ACAT2,13
ACBD3,ACBD3,10
ACBD4,ACBD4,3
ACBD5,ACBD5,3
ACBD6,ACBD6,3
ACD,ACD,3
ACER2,ACER2,6
ACER3,ACER3,7
ACIN1,ACIN1,15
ACKR1,ACKR1,4
ACKR3,ACKR3,4
ACLY,ACLY,6
ACO1,ACO1,2
ACO2,ACO2,2
ACOT1,ACOT1,2
ACOT13,ACOT13,6
ACOT2,ACOT2,2
ACOT4,ACOT4,6
ACOT7,ACOT7,5
